,pretty_comp,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
503,YRh,0.359293861748,-2.11472955217,-78.8904428237,-16.826701155,-1526.13148467,509.3740728,-70337.8567198,-2106.65096939,-226437.693106,-40279.3121833,-64557.8278894,-208.007746771,-111198.29692,-32.3657417425,-178194.581638,-15.2349088655,-24333.6783579,-0.979622490684,-11334.4012257,-4.90415817556,-3645.53472202,-839.709578508,-820.981944843,-0.285323057282,-252.55882512,-0.0477419119302,-41.4389273049,-6.35456838558,-3.82024789013,2.09445950304,-2.18819630239,1.14594384616
504,TmGe,1.69182424497,-2.83990033755,-45.5835385624,7.35258304168,-1516.01451742,497.978932821,-70313.9924809,-2112.00577856,-226393.120126,-40286.1174609,-64547.0536167,-208.005374092,-111179.739127,-32.36543491,-178167.792591,-15.2347523025,-24330.0201223,-0.979612423134,-11332.697347,-4.90411284276,-3649.076448,-836.330794075,-820.863433822,-0.285320249693,-252.522367319,-0.0643551647964,-41.3778075956,-6.35407127323,-3.82818813269,2.2103585874,-2.04498018878,1.01856111218
505,ScSi,0.435963134423,-1.58465265459,-59.7259644639,-7.73777511448,-1519.97203167,500.82926392,-70307.5767161,-2109.92457851,-226352.385109,-40293.9761702,-64537.8534865,-208.003348066,-111163.892663,-32.3651730727,-178149.537525,-15.2346456146,-24327.5272634,-0.979605562727,-11331.5362605,-4.90408188788,-3644.27508528,-839.69362717,-820.775368734,-0.285318163385,-252.495275661,-0.076700415607,-41.3722527625,-6.35390977776,-3.81627576084,1.87731246587,-1.98829160285,0.968139781243
506,SmAu,1.71057324575,-2.90747609104,-77.8707329333,-20.405388503,-1520.99157498,502.729859522,-70320.8024385,-2109.50118818,-226394.291819,-40286.9430308,-64547.7329037,-208.005523683,-111180.909143,-32.3654539916,-178171.957401,-15.2347766429,-24330.5888574,-0.979613988306,-11332.962244,-4.90411987493,-3649.06690637,-836.412636886,-820.878611608,-0.285320609263,-252.527036483,-0.0622274920831,-41.3788733023,-6.35399494379,-3.69483276629,2.03382196229,-2.08754026436,1.0564159223
507,YbSb,1.02213882261,-3.42764042367,-63.3668483049,-4.46142399568,-1522.43523697,504.599534414,-70322.8883481,-2108.51907399,-226521.504813,-39982.8846752,-64541.1777051,-208.004080115,-111169.618354,-32.365267327,-178156.450565,-15.2346860165,-24328.4712885,-0.979608160706,-11331.9759543,-4.90409359593,-3644.46969208,-839.696091562,-820.807283624,-0.285318919465,-252.505093707,-0.0722264755208,-41.3886080209,-6.3541509591,-3.82553338515,2.13100166868,-1.9858291383,0.96594955656
508,PrGe,1.93163139854,-3.27114960993,-53.9471177056,-0.975983411225,-1518.99597516,500.607582195,-70315.4442825,-2110.58980701,-226380.139194,-40289.3182443,-64544.3964513,-208.004788939,-111175.162379,-32.3653588929,-178158.546543,-15.234698266,-24328.757509,-0.979608948392,-11332.1092661,-4.90409715289,-3644.52653221,-839.696811354,-820.816605194,-0.285319140298,-252.507961319,-0.0709197540599,-41.3914320824,-6.35408435788,-3.81776457559,1.93734096607,-2.02125954894,0.997462927922
509,VB,-2.43159797289,3.35242420093,56.9466093994,75.8576770393,-1480.98937665,460.881556835,-70318.3736424,-2102.01278033,-226481.996219,-39941.9350547,-64515.996851,-207.99853486,-111126.246416,-32.3645516196,-178076.517856,-15.2342188666,-24317.5559099,-0.979578121326,-11326.8919512,-4.90395832407,-3649.10064357,-834.264123482,-820.445182724,-0.285310341104,-252.393700897,-0.0810778296279,-41.3518232441,-6.35362661735,-3.80853800023,1.58948108042,-1.72300699419,0.732183938835
510,ErBi,2.23942160201,-3.38696889563,-49.2934017033,-2.16631130213,-1521.54128598,502.817518331,-70315.8469377,-2109.0880806,-226375.033657,-40290.1750987,-64543.1928342,-208.004523881,-111173.089248,-32.3653245413,-178151.506061,-15.2346571193,-24327.7960813,-0.97960630252,-11331.6614664,-4.90408523833,-3644.32421557,-839.694249328,-820.78342597,-0.285318354265,-252.497754322,-0.0755709253267,-41.3818387617,-6.35398836432,-3.81706630503,1.90376675871,-1.98937584089,0.969104150419
511,DySi,1.6172658726,-2.15254229803,-60.7623796937,-12.5517552659,-1518.09708176,499.018141248,-70304.4897095,-2111.11260647,-226341.480613,-40295.8062552,-64535.2827773,-208.002781951,-111159.464829,-32.3650993212,-178132.107136,-15.2345437464,-24325.1470201,-0.979599012241,-11330.4276254,-4.9040524899,-3643.78091255,-839.687369241,-820.694326146,-0.285316243443,-252.470344526,-0.0810795067209,-41.3672162528,-6.35393135878,-3.82247199231,2.01621695923,-1.89356936854,0.883889644359
512,NpCl,-0.791580123337,-2.18407079315,-123.981123665,-53.8775393612,-1539.21706561,525.294007454,-70401.3952265,-2098.10505737,-226631.870313,-40247.0966055,-64604.2083385,-183.928058662,-111265.547542,-31.194322991,-178310.254972,-11.0726476172,-24350.4792516,-0.980972178231,-11342.2314376,-4.86609311547,-3649.14520546,-839.755339752,-821.650798356,-0.281368543716,-252.741829563,0.0491975620634,-41.7513787528,-6.35800124328,-3.86537803571,3.8485326573,-4.06253637163,2.81306464983
