,element,group_id,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
28,Ge,14,-5.82080076624,-3.8368858133,146.641177604,-153.259754532,1007.27149301,-194.695342377,117225.592512,15345.5335067,-5937.03335362,-12273.3277188,-1796.63061449,-2.18475255552,-3096.10936341,-7.11737559982,-3295.21401684,-11.5477659643,-449.934174471,-11.9136906089,-215.007165167,-45.7110510258,417.887314159,-333.44042597,-15.8177037011,-0.0257132317084,-4.86593463331,-0.04045354045,0.159546184935,-0.70962348496,0.118127819842,-0.969900924503,-1.10767400742,0.0633164634769
29,As,15,-5.02266947711,-3.72508811335,-20.001572834,-118.628364818,352.579500914,-311.566305292,16332.8359494,6368.48392316,-30776.6625267,-5501.06354927,-9100.40502684,-2.34253702979,-15676.2566195,-7.63010971724,-25254.9132161,-12.4723840903,-3448.68695236,-12.8677568836,-1611.71832579,-48.9334442439,-1140.62507069,344.622547503,-116.157471136,-0.02775967961,-35.7333233205,-0.0436731818676,-6.1921705528,-0.763941979271,-0.44793766311,-0.797325631567,-0.688393151779,-0.21803162148
30,Se,16,-5.56179905886,-0.735488530889,-181.328707824,-153.192985873,344.430022832,-554.622695102,119055.609176,18938.4429478,334261.978557,-186723.230715,106850.756079,0.16237234486,184040.026341,0.5101094791,326447.89116,2.3361424257,44578.8198938,2.41240388194,20757.7639604,2.6758273091,-1296.51017836,4441.46880227,1483.43934555,0.004864389915,456.34847279,0.00765333924527,94.5314005523,0.0974240025525,7.09827025213,0.241139306506,-1.79853944763,0.892732350622
31,Br,17,-3.64470245958,-1.24323371025,-261.872643271,-77.1596808148,-90.9047885175,-714.644657431,33634.0803207,5742.99754129,110150.068613,-78259.1942511,35958.5021892,-1.36912306808,61933.9833308,-4.46717297037,100674.39136,-7.17010209891,13747.8507513,-7.39660341389,6397.80979783,-30.4544930701,3322.89217844,-214.845697304,460.951980038,-0.0159894268424,141.802072236,-0.0251554010479,29.6543027397,-0.457390768629,2.29968482858,-0.591405309342,-1.32590393087,0.324005435596
32,Kr,18,-5.3693754464,-1.13478763212,-171.803144887,-109.85615237,-53.0069814246,-51.3356575646,80744.9879929,41601.5314333,793753.139165,326399.397976,216773.974803,2.53705922551,373373.677102,8.22545201642,610375.859658,14.2909940727,83351.2007436,14.7480059474,38816.5446126,44.3395224426,17629.6887282,369.218954617,2808.98475543,0.0318991308944,864.124241249,0.050186709702,176.373616336,0.797320757398,13.151666695,1.29139103098,-1.95254123356,1.69482952287
33,Rb,1,2.62274659525,15.3181809546,156.882946298,40.8000904021,-259.92989255,213.469337281,-44534.6389165,-3336.45643818,-56557.4865786,-4297.92870958,-16066.519283,-2.49302698382,-27674.8122251,-8.1191104268,-44389.5010898,-13.2780502617,-6061.65019899,-13.6990825365,-2828.74254372,-51.7412635605,-730.099301128,-380.306151678,-204.225384173,-0.0295558407975,-62.8255353765,-0.0464990337081,-11.7441856092,-0.81142159946,-1.00358301643,-0.490054565029,-0.148895476651,-0.288619760247
34,Sr,2,6.04199972517,5.65464805071,-10.5637004874,122.676538976,-216.791416397,355.70417386,-44032.3749412,-3195.28720644,-53556.5416829,709.63139796,-15798.5358847,-2.48723770047,-27213.2329604,-8.10029546088,-43738.7403482,-13.2506498328,-5972.78423669,-13.670809443,-2787.35195414,-51.6457728812,-712.119394156,-379.572134942,-201.27451366,-0.0294956572539,-61.9177629667,-0.0464043522585,-11.5172434915,-0.809480840034,-0.97849964247,-0.508703433974,-0.176907168696,-0.293845638021
35,Y,3,7.52667651738,-3.06648665089,-65.2792295631,104.367012662,-301.223966607,-33.8984696198,-47482.2397689,-5662.78889749,-66787.5623386,2484.39659712,-19495.6815137,-2.56710766173,-33581.2604919,-8.35983358563,-53939.9842356,-13.6801755253,-7365.8362902,-14.1140150293,-3436.18541943,-53.1427164733,-996.927741049,-391.199230317,-248.017294336,-0.0304489848116,-76.2971811249,-0.0479041918293,-14.4696522052,-0.834729194541,-1.2053994299,0.238407773312,0.549823832737,-0.150041753007
36,Zr,4,3.29781168781,-1.08681904802,-9.3317178393,97.7775016735,-236.528497487,105.632178222,-36780.4556307,-2525.89066232,-23743.3991443,-20126.3699212,-5692.15112139,-2.2689080374,-9805.82109296,-7.39083814344,-15907.0577557,-12.0787905114,-2172.1709037,-12.4616277355,-1017.16313045,-47.5617263554,68.697119686,-347.695863844,-73.1268314968,-0.0268820618474,-22.4958651996,-0.0422924473882,-15.8758225864,8.13485684259,-0.175816628717,-0.870376898378,-0.876018779577,-0.0906048512001
37,Nb,5,-0.895232639417,2.70175098887,157.789017938,102.354930809,-56.1644895584,237.159905933,19866.0966622,3545.07131393,494996.974033,66503.1799987,145369.50607,0.994498362677,250385.3872,3.21327197394,390959.922352,5.05243616187,53388.3936666,5.21520819897,24860.9458266,12.1422927475,11460.4163957,117.362860562,1796.4832908,0.0112489784111,552.649764306,0.0176981214608,113.263637332,0.257618000326,8.48378579267,0.481523378401,-1.8337877481,1.07631828741
